pregen_id,background,character_name,slot_group,slot_index,display_name,original_text,category,catalogue_item,match_method,tier,traits,skill,damage,range,damage_negation,weight,part_replaced,strain,credit_cost,notes
bounty_hunter,Bounty Hunter,Marcus Vale,weapons,1,Custom Revolver,Custom revolver,weapon,Custom Revolver,manual,Background Gear,Small Arm,Small Arms,1D6,30 Feet,,,,,800,
bounty_hunter,Bounty Hunter,Marcus Vale,weapons,2,Collapsible Baton,Collapsible baton,weapon,Collapsible Baton,manual,Background Gear,"Melee, Concealable",Melee Combat,1D4,Melee,,,,,200,
bounty_hunter,Bounty Hunter,Marcus Vale,armour,1,Long Reinforced Duster,Long reinforced duster,armour,Long Reinforced Duster,manual,Background Gear,Medium,,,,2,Medium,,,550,
bounty_hunter,Bounty Hunter,Marcus Vale,armour,2,Ballistic Vest,Ballistic vest underneath,armour,Ballistic Vest,manual,Background Gear,"Light, Accessory",,,,1,Light,,,500,
bounty_hunter,Bounty Hunter,Marcus Vale,cyberware,1,Facial Recognition Scanner,Facial recognition scanner,cyberware,Facial Recognition Scanner,manual,Background Cyberware,"Cyberware, Sensor",,,,,,Eyes,1,1000,
bounty_hunter,Bounty Hunter,Marcus Vale,misc,1,Stun Cuffs,Stun cuffs,misc,Stun Cuffs,manual,Tech Items,,,,,,,,,350,
bounty_hunter,Bounty Hunter,Marcus Vale,narrative_items,1,Cigarette case filled with encrypted data chips,Cigarette case filled with encrypted data chips,narrative_item,,unmatched,,,,,,,,,,,No good Civilian Gear equivalent found; keep as descriptive inventory.
cat_burglar,Cat Burglar,Lena Cross,weapons,1,Switchblade,Switchblade tucked in your boot,weapon,Switchblade,manual,Background Gear,"Blades, Concealable",Blades,1D4,Melee,,,,,250,
cat_burglar,Cat Burglar,Lena Cross,weapons,2,Old Revolver,Reliable old revolver,weapon,Old Revolver,manual,Background Gear,"Small Arms, Loud",Small Arms,1D6,30 Feet,,,,,400,
cat_burglar,Cat Burglar,Lena Cross,armour,1,Skintight Catsuit,Skintight catsuit underneath perfectly ordinary clothes,armour,Skintight Catsuit,manual,Background Gear,"Light, Near-Silent",,,,1,Light,,,550,
cat_burglar,Cat Burglar,Lena Cross,cyberware,1,Black Market lockpicks,Black-market lockpicks,cyberware,Black Market lockpicks,manual,Background Cyberware,"Cyberware, Hacking Enabled, Sabotage +1",,,,,,Fingers,2,3750,
cat_burglar,Cat Burglar,Lena Cross,cyberware,2,Jailbroken Augs,Jailbroken Augs,cyberware,Jailbroken Augs,manual,Background Cyberware,Cyberware,,,,,,Eyes,1,1150,
cat_burglar,Cat Burglar,Lena Cross,misc,1,Climbing Claws,Climbing claws for scaling mega buildings,misc,Climbing Claws,manual,Tech Items,Parkour,,,,,,,,1200,
corporate_security,Corporate Security,Adrian Holt,weapons,1,Aged Police-Issue Shotgun,Aged police-issue shotgun,weapon,Aged Police-Issue Shotgun,manual,Background Gear,"Big Guns, Knockback, Non-Lethal",Big Guns,2D8-3,20 Feet,,,,,1500,
corporate_security,Corporate Security,Adrian Holt,weapons,2,Stun Baton,Broken stun baton that still works sometimes,weapon,Stun Baton,manual,Background Gear,"Melee, Stunning",Melee Combat,1D4,Melee,,,,,350,
corporate_security,Corporate Security,Adrian Holt,armour,1,Patched-up Riot Armour,Patched-up riot armour,armour,Patched-up Riot Armour,manual,Background Gear,Heavy,,,,3,Heavy,,,650,
corporate_security,Corporate Security,Adrian Holt,cyberware,1,Corp-grade Augs,Corp-grade Augs,cyberware,Corp-grade Augs,manual,Background Cyberware,"Cyberware, Thermal Vision, HUD Time/Map Overlay",,,,,,Eyes,1,4250,
corporate_security,Corporate Security,Adrian Holt,narrative_items,1,Old department boots,Old department boots,narrative_item,,unmatched,,,,,,,,,,,No good Civilian Gear equivalent found; keep as descriptive inventory.
