id,character_name,background,page,ability_name,ability_text,roll20_api_attribute,roll20_html_field,roll20_value
bounty_hunter,Marcus Vale,Bounty Hunter,17,The Hunt Never Ends,"Once per day, declare a target. You gain +2 to all rolls that involve tracking, hunting, or hitting that one target in combat. The target does not need to be known to you; it can just be something you are hunting.",background_ability,attr_background_ability,"The Hunt Never Ends — Once per day, declare a target. You gain +2 to all rolls that involve tracking, hunting, or hitting that one target in combat. The target does not need to be known to you; it can just be something you are hunting."
cat_burglar,Lena Cross,Cat Burglar,18,Just Someone in the Crowd,"Once per day, as long as you are in or near a crowd, you can instantly lose any pursuit. Gain +2 to Stealth for the purposes of breaking and entering.",background_ability,attr_background_ability,"Just Someone in the Crowd — Once per day, as long as you are in or near a crowd, you can instantly lose any pursuit. Gain +2 to Stealth for the purposes of breaking and entering."
corporate_security,Adrian Holt,Corporate Security,19,Badge Intimidation,"Once per day, flash your old credentials and force someone to hesitate or comply, even if you have not been a cop in years. Gain +2 when trying to Bully any Civilian-type NPCs.",background_ability,attr_background_ability,"Badge Intimidation — Once per day, flash your old credentials and force someone to hesitate or comply, even if you have not been a cop in years. Gain +2 when trying to Bully any Civilian-type NPCs."
cyber_junkie,Nika Voss,Cyber-Junkie,20,Overclocked Brain,"Once per day, you can either push your neural processor to triple speed, allowing you to use Hacking twice in a single action, or reroll a failed Hacking attempt.",background_ability,attr_background_ability,"Overclocked Brain — Once per day, you can either push your neural processor to triple speed, allowing you to use Hacking twice in a single action, or reroll a failed Hacking attempt."
desert_courier,Salim Reyes,Desert Courier,21,Blink and You Miss Me,"Once per day, move twice as far in one Movement action, ignoring terrain penalties.",background_ability,attr_background_ability,"Blink and You Miss Me — Once per day, move twice as far in one Movement action, ignoring terrain penalties."
ex_military,Dana Kaur,Ex-Military,22,War Never Changes,"You never freeze in combat. If you are ambushed, you still get a turn before anything hits you.",background_ability,attr_background_ability,"War Never Changes — You never freeze in combat. If you are ambushed, you still get a turn before anything hits you."
gambler_on_the_run,Milo Rask,Gambler on the Run,23,Lady Luck,"Once per day, if you roll a 20 on a D20, replace the result with a 2. Once per day, if you have sacrificed a 20 result, you may replace any other result with a Critical Success.",background_ability,attr_background_ability,"Lady Luck — Once per day, if you roll a 20 on a D20, replace the result with a 2. Once per day, if you have sacrificed a 20 result, you may replace any other result with a Critical Success."
grease_monkey,Rosa Tan,Grease Monkey,24,Built Like a Tank,"As long as you are repairing something that belongs to you or an ally, you gain +2 to Jury-Rigging and Engineering.",background_ability,attr_background_ability,"Built Like a Tank — As long as you are repairing something that belongs to you or an ally, you gain +2 to Jury-Rigging and Engineering."
gutter_rat_orphan,Jax Morrow,Gutter Rat Orphan,25,Rat Runs the Maze,"Once per day, you can find a secret, unmonitored path through the city: alleyways, sewer tunnels, maintenance shafts. Even in total lockdown, you always have an escape.",background_ability,attr_background_ability,"Rat Runs the Maze — Once per day, you can find a secret, unmonitored path through the city: alleyways, sewer tunnels, maintenance shafts. Even in total lockdown, you always have an escape."
mesh_hacker,Ilya Novak,Mesh Hacker,26,See What I Want You to See,"Once per day, you can use the GhostWalk hack without having to roll for success.",background_ability,attr_background_ability,"See What I Want You to See — Once per day, you can use the GhostWalk hack without having to roll for success."
pilot,Talia Cruz,Pilot,27,Get There Fast,"Once per Day, you can double the Movement speed of a Vehicle or Mech for one Round.",background_ability,attr_background_ability,"Get There Fast — Once per Day, you can double the Movement speed of a Vehicle or Mech for one Round."
piss_poor_artist,Emi Laurent,Piss-Poor Artist,28,The Muse Smiles,"Once per Day, gain a sudden burst of inspiration, allowing you to gain Advantage (1D4 + your Performance) on a single Non-Combat roll.",background_ability,attr_background_ability,"The Muse Smiles — Once per Day, gain a sudden burst of inspiration, allowing you to gain Advantage (1D4 + your Performance) on a single Non-Combat roll."
religious_fanatic,Jonah Mirek,Religious Fanatic,29,Faith Drives Me,"Once per Combat, your faith keeps you going. Heal 1D4 HP as a Free Action.",background_ability,attr_background_ability,"Faith Drives Me — Once per Combat, your faith keeps you going. Heal 1D4 HP as a Free Action."
rogue_surgeon,Dr. Mira Sayegh,Rogue Surgeon,30,Meat is Weak,"Once per Combat as a Bonus Action, you can patch up yourself or an Ally. Roll a DC: 10 First Aid check; on a success, you or your ally heals for 1D6.",background_ability,attr_background_ability,"Meat is Weak — Once per Combat as a Bonus Action, you can patch up yourself or an Ally. Roll a DC: 10 First Aid check; on a success, you or your ally heals for 1D6."
